,year,tournament,match id,series id,end time,duration (s),mode,map,team,player,win?,score,kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,assists,headshots,suicides,team kills,team deaths,kills (stayed alive),hits,shots,accuracy (%),num lives,time alive (s),avg time per life (s),snd rounds,snd firstbloods,snd firstdeaths,snd survives,bomb pickups,bomb plants,bomb defuses,bomb sneak defuses,snd 1-kill round,snd 2-kill round,snd 3-kill round,snd 4-kill round,2-piece,3-piece,4-piece,4-streak,5-streak,6-streak,7-streak,8+-streak
223,2018,dallas,bdda675b-f6b8-5070-a915-022f1e4596de,pool-A-7,2017-12-09 16:11:02 UTC,397.0,Search & Destroy,Sainte Marie du Mont,Unilad,Wuskin,,1,3,6,-3,0.5,4.5,9.1,0,1,0,0,0,3,11,47,23.4,7,312.0,44.6,7,0,1,1,4,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
264,2018,dallas,37001f7c-b863-51a8-8128-d8f81164ac7c,pool-D-2,2017-12-09 16:53:20 UTC,566.0,Search & Destroy,USS Texas,Evil Geniuses,Aches,,6,6,6,0,1.0,6.4,6.4,2,2,0,0,0,6,26,115,22.6,10,470.2,47.0,10,2,3,4,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
265,2018,dallas,37001f7c-b863-51a8-8128-d8f81164ac7c,pool-D-2,2017-12-09 16:53:20 UTC,566.0,Search & Destroy,USS Texas,Evil Geniuses,Apathy,,6,9,4,5,2.25,9.5,4.2,1,0,1,1,0,8,23,131,17.6,10,447.4,44.7,10,2,1,6,3,2,1,0,3,3,0,0,2,0,0,0,0,0,0,0
266,2018,dallas,37001f7c-b863-51a8-8128-d8f81164ac7c,pool-D-2,2017-12-09 16:53:20 UTC,566.0,Search & Destroy,USS Texas,Evil Geniuses,Enable,,6,7,5,2,1.4,7.4,5.3,1,1,0,0,0,7,30,182,16.5,10,509.2,50.9,10,1,0,5,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0
267,2018,dallas,37001f7c-b863-51a8-8128-d8f81164ac7c,pool-D-2,2017-12-09 16:53:20 UTC,566.0,Search & Destroy,USS Texas,Evil Geniuses,Nameless,,6,6,6,0,1.0,6.4,6.4,0,0,0,0,0,4,20,98,20.4,10,474.1,47.4,10,0,1,4,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0
268,2018,dallas,37001f7c-b863-51a8-8128-d8f81164ac7c,pool-D-2,2017-12-09 16:53:20 UTC,566.0,Search & Destroy,USS Texas,Splyce,Bance,,4,2,6,-4,0.33,2.1,6.4,1,0,0,0,0,1,12,108,11.1,10,472.8,47.3,10,0,1,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
269,2018,dallas,37001f7c-b863-51a8-8128-d8f81164ac7c,pool-D-2,2017-12-09 16:53:20 UTC,566.0,Search & Destroy,USS Texas,Splyce,Jurd,,4,5,7,-2,0.71,5.3,7.4,0,0,0,0,0,5,10,59,16.9,10,521.7,52.2,10,1,0,3,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0
270,2018,dallas,37001f7c-b863-51a8-8128-d8f81164ac7c,pool-D-2,2017-12-09 16:53:20 UTC,566.0,Search & Destroy,USS Texas,Splyce,MadCat,,4,3,7,-4,0.43,3.2,7.4,1,0,0,0,0,3,9,116,7.8,10,505.0,50.5,10,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
271,2018,dallas,37001f7c-b863-51a8-8128-d8f81164ac7c,pool-D-2,2017-12-09 16:53:20 UTC,566.0,Search & Destroy,USS Texas,Splyce,Tommey,,4,11,8,3,1.38,11.7,8.5,2,2,0,0,0,10,49,145,33.8,10,397.2,39.7,10,4,3,2,1,0,0,0,0,4,1,0,1,1,0,0,0,0,0,0
272,2018,dallas,eb69e790-749d-5092-abe5-5705dee73a52,pool-B-0,2017-12-09 16:58:39 UTC,698.0,Search & Destroy,USS Texas,Ground Zero,Blazt,,5,14,6,8,2.33,12.0,5.2,3,1,0,0,0,13,48,250,19.2,11,562.8,51.2,11,1,1,5,0,0,1,0,4,2,2,0,0,0,0,0,0,0,0,0
273,2018,dallas,eb69e790-749d-5092-abe5-5705dee73a52,pool-B-0,2017-12-09 16:58:39 UTC,698.0,Search & Destroy,USS Texas,Ground Zero,Fero,,5,8,8,0,1.0,6.9,6.9,0,1,0,0,0,6,23,73,31.5,11,449.2,40.8,11,3,0,3,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0
274,2018,dallas,eb69e790-749d-5092-abe5-5705dee73a52,pool-B-0,2017-12-09 16:58:39 UTC,698.0,Search & Destroy,USS Texas,Ground Zero,Parasite,,5,7,8,-1,0.88,6.0,6.9,7,1,0,0,0,6,33,171,19.3,11,576.1,52.4,11,0,0,3,1,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0
